direct_pair_multiplier,err_direct,err_parrot,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,n_pairs_direct,n_pairs_rollout,params_direct,params_rollout,seed,system
4,0.05046103149652481,0.024823905545841178,0.003530557034537196,8,2.118235268907861,0.6963711539102683,0.08294616088455987,64000,16000,19859,19868,0,Halvorsen
4,0.07107849419116974,0.031777709229508594,0.006882376037538052,16,2.118235268907861,0.6963711539102683,0.16589232176911975,64000,16000,19859,19868,0,Halvorsen
4,0.12406887859106064,0.05052937364602541,0.012919771485030651,32,2.118235268907861,0.6963711539102683,0.3317846435382395,64000,16000,19859,19868,0,Halvorsen
4,0.32044312357902527,0.10959615605101128,0.0250640157610178,64,2.118235268907861,0.6963711539102683,0.663569287076479,64000,16000,19859,19868,0,Halvorsen
4,0.586455762386322,0.2239250648052183,0.08994387835264206,128,2.118235268907861,0.6963711539102683,1.327138574152958,64000,16000,19859,19868,0,Halvorsen
4,0.973232626914978,0.5517138981147672,0.40853363275527954,256,2.118235268907861,0.6963711539102683,2.654277148305916,64000,16000,19859,19868,0,Halvorsen
4,0.982896089553833,1.1194541424568323,1.0844616889953613,512,2.118235268907861,0.6963711539102683,5.308554296611832,64000,16000,19859,19868,0,Halvorsen
1,0.05176285281777382,0.020317635239111887,0.00037696296931244433,1,2.118235268907861,0.6963711539102683,0.010368270110569984,16000,16000,19859,19868,1,Halvorsen
1,0.03731071203947067,0.02065703474962441,0.0007315243710763752,2,2.118235268907861,0.6963711539102683,0.02073654022113997,16000,16000,19859,19868,1,Halvorsen
1,0.04647849500179291,0.02182877509065727,0.001366320764645934,4,2.118235268907861,0.6963711539102683,0.04147308044227994,16000,16000,19859,19868,1,Halvorsen
1,0.06226000934839249,0.024823905545841178,0.002517783548682928,8,2.118235268907861,0.6963711539102683,0.08294616088455987,16000,16000,19859,19868,1,Halvorsen
1,0.09142445027828217,0.031777709229508594,0.00450501125305891,16,2.118235268907861,0.6963711539102683,0.16589232176911975,16000,16000,19859,19868,1,Halvorsen
