budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
12800,StandardMap,6.343697186821373e-07,3.0,2.195060852535782e-05,12755,0.0004930050037076643,0,18.84
12800,StandardMap,6.901880483383138e-07,3.0,2.195060852535782e-05,12755,0.0005144215846092593,1,18.85
12800,StandardMap,6.937526231922675e-07,3.0,2.195060852535782e-05,12755,0.0005156775236884056,2,18.49
12800,StandardMap,7.244226985676505e-07,3.0,2.195060852535782e-05,12755,0.0005269107105548085,3,18.89
12800,StandardMap,5.271142240417248e-07,3.0,2.195060852535782e-05,12755,0.00044946566218641076,4,18.63
25600,StandardMap,6.135978837846779e-07,3.0,2.195060852535782e-05,25586,0.00048488991847014826,0,23.14
25600,StandardMap,7.415799746013363e-07,3.0,2.195060852535782e-05,25586,0.0005330108522442888,1,23.22
25600,StandardMap,6.170835977172828e-07,3.0,2.195060852535782e-05,25586,0.00048624195823855247,2,22.85
25600,StandardMap,5.198789403948467e-07,3.0,2.195060852535782e-05,25586,0.0004464128167810883,3,23.77
25600,StandardMap,6.277948373281106e-07,3.0,2.195060852535782e-05,25586,0.000490539284148149,4,22.9
51200,StandardMap,3.002812300110236e-07,3.0,2.195060852535782e-05,51062,0.00033931304871009417,0,31.55
51200,StandardMap,3.549872094481543e-07,3.0,2.195060852535782e-05,51062,0.0003688076005972608,1,31.14
51200,StandardMap,2.8490285171756114e-07,3.0,2.195060852535782e-05,51062,0.00033032833691294195,2,30.86
51200,StandardMap,3.7957154381729197e-07,3.0,2.195060852535782e-05,51062,0.00038131521160227354,3,30.94
51200,StandardMap,3.0471050035885127e-07,3.0,2.195060852535782e-05,51062,0.0003418372862746168,4,30.71
200,StandardMap,1.277550676345825,8.0,1.395969304356766,211,0.6681521324174953,0,12.14
200,StandardMap,0.8154827404022217,8.0,1.395969304356766,211,0.5451335351972121,1,12.11
200,StandardMap,1.2137310218811035,8.0,1.395969304356766,211,0.6593041531939334,2,12.56
200,StandardMap,1.1961953325271606,8.0,1.395969304356766,211,0.6508768790139146,3,12.16
200,StandardMap,1.057169282913208,8.0,1.395969304356766,211,0.6176399893705274,4,12.77
400,StandardMap,0.6774619603157044,8.0,1.395969304356766,386,0.4980691204330507,0,12.27
400,StandardMap,0.6797504425048828,8.0,1.395969304356766,386,0.49818151398565613,1,14.39
400,StandardMap,0.6500842134952545,8.0,1.395969304356766,386,0.4907899912382041,2,12.16
400,StandardMap,0.534053129196167,8.0,1.395969304356766,386,0.44888709622170175,3,12.08
400,StandardMap,0.679069709777832,8.0,1.395969304356766,386,0.49476342564845577,4,12.37
800,StandardMap,0.3246568145751953,8.0,1.395969304356766,827,0.3632756168783069,0,13.11
800,StandardMap,0.3560678133964539,8.0,1.395969304356766,827,0.37321606984168876,1,13.05
800,StandardMap,0.37742634904384614,8.0,1.395969304356766,827,0.3818339716151385,2,13.15
800,StandardMap,0.3093857169151306,8.0,1.395969304356766,827,0.3593190695292634,3,12.91
800,StandardMap,0.3679012143611908,8.0,1.395969304356766,827,0.3877360345427916,4,13.77
1600,StandardMap,0.24485601603984833,8.0,1.395969304356766,1586,0.3229392245189411,0,13.59
1600,StandardMap,0.2721407380104065,8.0,1.395969304356766,1586,0.33732097458007243,1,13.17
1600,StandardMap,0.2810519549846649,8.0,1.395969304356766,1586,0.3407109645291214,2,13.31
1600,StandardMap,0.2634979784488678,8.0,1.395969304356766,1586,0.336494314394996,3,13.27
