system,dim,nn_dist,attractor_spread,coverage,lyap_max,model_vpt,parrot_vpt,censored,ratio,log_ratio
Rucklidge,3,0.018165686577802702,2.2231939965417222,0.00817098580063649,0.1936356650629198,169.0,54.0,0.3333333333333333,3.1296296296296298,1.1409146683587992
Sakarya,3,0.02837827253596696,2.159013730094713,0.013144090813504018,0.2650103648549151,140.0,111.0,0.0,1.2612612612612613,0.23211222129697015
SaltonSea,3,0.02430664776746414,2.1354312527550854,0.011382547546826549,1.0702552017260385,200.0,200.0,1.0,1.0,0.0
SanUmSrisuchinwong,3,0.03090449380518729,2.231986692317561,0.013846181929112631,0.2606135207962152,45.0,28.0,0.0,1.6071428571428572,0.4744579795951159
ShimizuMorioka,3,0.01762482780424174,2.3157122361778186,0.007610974942781433,0.035774253344634,196.0,200.0,0.3333333333333333,0.98,-0.020202707317519466
SprottA,3,0.04706322237175417,2.2843327933676765,0.02060261206615663,0.0129930526524297,200.0,200.0,1.0,1.0,0.0
SprottB,3,0.039348090518445775,2.2668064217841,0.01735838143932762,0.2067427525600688,35.0,54.0,0.0,0.6481481481481481,-0.43363598507486073
SprottC,3,0.025399062737913695,2.16991493114399,0.011705096072371458,0.1580692476694403,124.0,66.0,0.0,1.878787878787879,0.6306268235786113
SprottD,3,0.01731017886932059,2.0516902452432118,0.008437033275102698,0.1017094188693234,200.0,200.0,1.0,1.0,0.0
SprottE,3,0.01211359363670617,2.2305864388377072,0.005430676626465194,0.0901606759008489,119.0,200.00000000000003,0.0,0.5949999999999999,-0.5191938734365075
SprottF,3,0.03222683223755058,2.0388437521319265,0.015806425678207288,0.1183090101484132,122.0,96.0,0.0,1.2708333333333333,0.23967285326542026
SprottG,3,0.017248382991174323,2.1782531154922578,0.00791844752499133,0.0906783225338874,200.0,200.0,1.0,1.0,0.0
SprottH,3,0.035406081377357616,2.1830533790825903,0.016218605425139317,0.1310018247069025,116.0,83.0,0.0,1.3975903614457832,0.3347495833097668
SprottI,3,0.01935728604400616,2.2043352261053513,0.008781462009390863,0.0232187043765068,200.00000000000003,200.00000000000003,1.0,1.0,0.0
SprottJ,3,0.012838976395970276,2.149214601898295,0.005973799165811661,0.1229078909964204,200.00000000000003,200.00000000000003,1.0,1.0,0.0
SprottJerk,3,0.009723319246487705,2.2502495589757836,0.0043209959569610315,0.0878519028216262,196.00000000000003,200.0,0.3333333333333333,0.9800000000000001,-0.020202707317519355
SprottK,3,0.012882502196510399,2.1169078416993052,0.006085528119244544,0.0596259378679915,200.0,200.0,1.0,1.0,0.0
SprottL,3,0.012290707088449551,2.312950389983339,0.0053138654169483015,0.0921619758329696,122.0,200.0,0.0,0.61,-0.4942963218147801
SprottM,3,0.013411396674673167,2.2340392725706026,0.006003205422275908,0.0842204313070008,200.0,200.0,1.0,1.0,0.0
SprottMore,3,0.12420819698088512,2.2868394840918254,0.05431434862172324,1.0946909441433958,114.0,84.0,0.0,1.3571428571428572,0.3053816495511819
SprottN,3,0.016614290599656682,2.1320779574646482,0.007792534293358343,0.118696122097289,200.0,200.0,1.0,1.0,0.0
SprottO,3,0.016066637764095462,2.2444896117233215,0.007158258911147056,0.0914107785459031,200.0,200.0,1.0,1.0,0.0
SprottP,3,0.020024938696041727,2.1539866428262293,0.009296686570798397,0.1064676723437159,200.00000000000003,200.00000000000003,1.0,1.0,0.0
SprottQ,3,0.024950706805732446,2.2078678492819592,0.011300815315484979,0.1716978433806359,200.0,200.0,1.0,1.0,0.0
SprottR,3,0.016907845651952948,2.0223044818058673,0.00836068248083724,0.0966141527779969,200.0,200.0,1.0,1.0,0.0
SprottS,3,0.031796196798992475,2.160126096013727,0.014719602183256257,0.2737629235389973,200.0,200.0,1.0,1.0,0.0
SprottTorus,3,0.006015226550114472,2.1281321665721094,0.0028265286548454847,0.1056964344650892,20.0,16.0,0.0,1.25,0.22314355131420976
ThomasLabyrinth,3,0.06730585892047614,2.285779843333356,0.029445468738723286,1.390858033637042,9.0,11.0,0.0,0.8181818181818182,-0.2006706954621511
Thomas,3,0.018067896378006727,2.111820314392386,0.00855560307610983,0.6324054000339867,34.0,33.0,0.0,1.0303030303030303,0.02985296314968113
Torus,3,0.019037368707816752,2.3872793434074664,0.007974504014533925,0.008172841288153,200.0,200.0,1.0,1.0,0.0
Tsucs2,3,0.010266146635515411,2.055147953575688,0.004995332145140043,0.1362148834449908,191.0,200.0,0.0,0.955,-0.046043938501406846
VallisElNino,3,0.022981337782423714,2.13295123600626,0.01077443187377035,0.5477586276153029,54.0,52.0,0.0,1.0384615384615385,0.03774032798284711
WangSun,3,0.03181982783402705,2.120263854876332,0.01500748492261733,0.0673546300248001,67.0,66.0,0.0,1.0151515151515151,0.015037877364540502
WindmiReduced,3,0.015922843452382603,2.2085537390680945,0.007209624638384978,0.403521000622694,21.0,200.0,0.0,0.105,-2.2537949288246137
YuWang2,3,0.012748174988396945,2.1737270353264093,0.005864662297160354,1.1576066800869989,51.0,200.0,0.0,0.255,-1.3664917338237108
YuWang,3,0.02657669790231475,2.258526802092189,0.011767271425645867,1.8525516537708413,32.0,20.0,0.0,1.6,0.47000362924573563
ZhouChen,3,0.035392527177908806,1.9594862114099114,0.018062146583028404,0.6828000288089435,93.0,70.0,0.0,1.3285714285714285,0.2841042511038969
